site,site_utm_zone,site_utme,site_utmn,area_sqr_m,site_code,site_elevation_m,depth_m,topo,wilderness,site_comments,site_id,region_id,site_name_alt,site_latitude,site_longitude,geographic_area,geographic_area_type,region,country_id,time_zone,rm,pop_id
"10474",11,373545,4065235,"35257",NA,"3590","10",mt_brewer,kings_canyon,NA,1f4bb1c0-03b7-4a32-b1e4-3712882ab791,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.724405178222,-118.416088896493,kings_sf_bubbs_ck_vidette_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10478",11,368199,4068009,"28092",NA,"3000","5",mt_brewer,kings_canyon,NA,ed41c563-3d24-4b17-8647-f695463a8a9e,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7486767786006,-118.476416438141,kings_sf_bubbs_ck_north_guard_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10479",11,368199,4067376,"135017",NA,"3070","30",mt_brewer,kings_canyon,NA,7c86c5c9-0b3e-4492-94c4-ee079568e5ab,9d979cf0-9264-439b-9e04-1fc725acb7cd,north guard lake,36.7429722994999,-118.476307141059,kings_sf_bubbs_ck_north_guard_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10480",11,366485,4066750,"90092",NA,"3380","15",mt_brewer,kings_canyon,NA,0492e0a8-3200-44da-8947-c020939c5452,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.737091255267,-118.495390352971,kings_sf_bubbs_ck_cross_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10481",11,368023,4065815,"9027",NA,"3245","3",mt_brewer,kings_canyon,NA,f4a8b135-d2aa-4bc8-840a-e6976131862b,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7288803737631,-118.478008169464,kings_sf_bubbs_ck_north_guard_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10482",11,377764,4062488,"53959",NA,"3730","13.5",mt_williamson,sequoia,NA,30e4d123-12fc-4636-bbd6-03298528119b,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7002010981234,-118.368416267569,kings_sf_bubbs_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10483",11,378762,4062480,"84416",NA,"3685",NA,mt_williamson,kings_canyon,NA,59367a24-ece6-48d4-bc1d-0aa9b60b1c4f,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7002568789155,-118.357245372061,kings_sf_bubbs_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10484",11,378230,4063147,"9119",NA,"3650","9.5",mt_williamson,kings_canyon,NA,6666c3fd-8a3d-4c43-aef1-ef1fb284aa78,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7062000600829,-118.363305706831,kings_sf_bubbs_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10485",11,379039,4062990,"5779",NA,"3650","3",mt_williamson,kings_canyon,NA,48ddb144-243b-4193-b3c6-673e7ebc9ab6,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7048884888183,-118.354225821691,kings_sf_bubbs_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10486",11,379282,4063406,"84860",NA,"3590","12",mt_williamson,kings_canyon,NA,cbfd9172-b033-4f43-b180-c1876a3ee856,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.7086685434921,-118.351571651849,kings_sf_bubbs_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
